City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
270,Hasaki,JP,35.73,140.83,68.0,88,75,11.41,broken clouds,0.0,0.0
271,San Patricio,MX,19.22,-104.7,87.8,74,75,9.17,broken clouds,0.0,0.0
272,Tabas,IR,33.6,56.92,104.0,9,61,11.41,broken clouds,0.0,0.0
273,San Ramon De La Nueva Oran,AR,-23.13,-64.33,85.5,38,0,6.2,clear sky,0.0,0.0
274,Ondjiva,AO,-17.07,15.73,56.75,39,0,5.41,clear sky,0.0,0.0
275,Tabou,CI,4.42,-7.35,78.31,78,100,6.78,overcast clouds,0.0,0.0
276,Ilulissat,GL,69.22,-51.1,46.4,45,5,6.93,clear sky,0.0,0.0
277,Prabumulih,ID,-3.45,104.25,72.54,98,56,3.18,broken clouds,0.0,0.0
278,Pabellon De Arteaga,MX,22.15,-102.25,80.6,34,40,5.82,scattered clouds,0.0,0.0
279,Nanortalik,GL,60.14,-45.24,41.22,73,100,8.99,overcast clouds,0.0,0.0
280,Sitangkai,PH,4.66,119.39,84.29,69,65,2.93,broken clouds,0.0,0.0
281,Montgomery,US,39.15,-77.2,79.0,94,90,4.61,light rain,0.51,0.51
282,Salta,AR,-24.79,-65.41,77.0,36,0,8.05,clear sky,0.0,0.0
283,Letterkenny,IE,54.95,-7.73,54.03,90,100,22.59,moderate rain,1.08,1.08
284,Beyneu,KZ,45.32,55.2,78.62,18,63,18.37,broken clouds,0.0,0.0
285,Fort Frances,CA,48.6,-93.4,70.0,43,90,3.36,overcast clouds,0.0,0.0
286,Khandyga,RU,62.67,135.6,58.89,90,11,4.74,light rain,0.23,0.23
287,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,42.8,100,90,2.24,overcast clouds,0.0,0.0
288,Porto Novo,BJ,6.5,2.6,78.08,87,100,3.8,moderate rain,2.04,2.04
289,Hays,US,30.05,-98.03,91.99,56,93,1.01,overcast clouds,0.0,0.0
290,San Luis,AR,-33.3,-66.34,64.72,45,71,11.16,broken clouds,0.0,0.0
291,Pontianak,ID,-0.03,109.33,76.21,94,100,4.16,moderate rain,1.05,1.05
292,Bengkulu,ID,-3.8,102.27,75.63,89,100,4.72,light rain,0.23,0.23
293,Fort Nelson,CA,58.81,-122.7,78.8,41,75,3.36,broken clouds,0.0,0.0
294,Tamandare,BR,-8.76,-35.1,77.56,78,0,13.82,light rain,0.12,0.12
